Depth,Qc,Fs,u
0.01,0.16,0.004,0.002
0.02,0.168,0.007,0.001
0.03,0.192,0.026,0.001
0.04,0.692,0.03,0.002
0.05,0.902,0.034,0.001
0.06,1.657,0.025,0.001
0.07,2.411,0.028,0.001
0.08,3.694,0.028,0.001
0.09,4.735,0.031,0.002
0.1,6.002,0.037,0
0.11,6.631,0.04,0
0.12,7.963,0.043,0
0.13,8.613,0.078,0.0015
0.14,9.262,0.083,0.003
0.15,9.56,0.079,0.001
0.16,9.77,0.089,0.004
0.17,10.303,0.1,0.017
0.18,10.496,0.1005,0.001
0.19,10.295,0.101,0.001
0.2,10.779,0.105,0.006
0.21,11.198,0.087,0
0.22,10.803,0.086,-0.001
0.23,11.36,0.082,0.004
0.24,12.029,0.089,0.002
0.25,11.844,0.085,0.009
0.26,11.666,0.071,-0.008
0.27,11.634,0.11,-0.0045
0.28,11.602,0.129,-0.001
0.29,11.545,0.142,-0.002
0.3,11.61,0.148,0.011
0.31,12.029,0.154,-0.016
0.32,11.973,0.162,0.002
0.33,12.723,0.158,-0.002
0.34,13.159,0.121,0.012
0.35,13.627,0.143,0.006
0.36,17.218,0.158,0
0.37,18.702,0.208,-0.015
0.38,19.025,0.2125,0
0.39,18.799,0.217,0.001
0.4,19.292,0.248,0.002
0.41,19.461,0.266,0.002
0.42,18.759,0.23,0.003
0.43,15.773,0.204,0.001
0.44,15.192,0.223,0.001
0.45,14.087,0.191,0.001
0.46,13.772,0.171,-0.002
0.47,13.191,0.158,0
0.48,12.61,0.154,0.002
0.49,12.417,0.1775,0
0.5,10.698,0.201,0.005
0.51,10.101,0.1953,-0.005
0.52,9.665,0.1897,0
0.53,9.488,0.184,0
0.54,9.391,0.188,0.002
0.55,9.528,0.192,0.002
0.56,9.625,0.211,0
0.57,9.536,0.214,0.001
0.58,8.697,0.222,0.001
0.59,7.858,0.231,0.001
0.6,7.027,0.245,0.0007
0.61,6.195,0.249,0.0003
0.62,5.364,0.254,0
0.63,4.993,0.256,0.0005
0.64,4.622,0.264,0.001
0.65,4.057,0.25,0.005
0.66,3.807,0.242,0.012
0.67,3.194,0.232,0.021
0.68,2.984,0.197,0.016
0.69,2.693,0.179,0.01
0.7,2.637,0.178,0.01
0.71,2.508,0.154,0.005
0.72,2.355,0.135,0
0.73,2.234,0.132,0.002
0.74,2.129,0.125,-0.001
0.75,2.08,0.122,-0.002
0.76,1.991,0.096,0.001
0.77,1.878,0.094,0.003
0.78,1.798,0.088,0.002
0.79,1.757,0.082,0.002
0.8,1.709,0.077,0.001
0.81,1.685,0.079,0.001
0.82,1.677,0.075,0.001
0.83,1.701,0.071,0
0.84,1.733,0.069,-0.001
0.85,1.749,0.065,-0.002
0.86,1.749,0.065,-0.001
0.87,1.725,0.062,-0.002
0.88,1.717,0.06,-0.002
0.89,1.677,0.061,-0.005
0.9,1.556,0.06,-0.001
0.91,1.515,0.059,0.002
0.92,1.459,0.059,0.002
0.93,1.435,0.058,0
0.94,1.386,0.058,-0.002
0.95,1.354,0.057,-0.002
0.96,1.338,0.056,0.001
0.97,1.281,0.056,0.001
0.98,1.249,0.055,0.001
0.99,1.193,0.052,0.002
1,1.144,0.051,0.002
